Designator,Component,Layer,Mid X,Mid Y,Rotation
BATT1,BAT-HLD-012-THM,Top,7.23,69.09,90
C1,C-USC0805,Top,3.03,52.39,90
C10,C-USC0805,Top,49.13,56.49,90
C11,C_0805,Top,49.93,45.49,90
C12,C_0805,Top,51.73,62.99,90
C13,C-USC0805,Top,53.53,14.79,0
C14,C_0805,Top,63.33,44.29,0
C15,C_0805,Top,67.13,53.79,90
C16,TAJB107K006RNJ,Top,70.23,61.09,0
C17,C-USC0805,Top,70.73,31.69,0
C18,C_0805,Top,75.43,39.69,90
C19,C-USC0805,Top,78.63,75.59,0
C2,C-USC0805,Top,32.23,20.79,0
C20,C-USC0805,Top,80.23,65.79,0
C21,C_0805,Top,96.13,35.29,90
C22,C-USC0805,Top,114.86,54.69,0
C23,C_0805,Top,125.02,48.15,90
C24,VZH-471M1ETR-1010,Top,117.23,26.69,0
C25,C_0805,Top,117.03,17.29,0
C26,C-USC0806,Top,116.35,70.14,0
C27,C-USC0805,Top,107.39,21.89,0
C3,C-USC0805,Top,40.13,45.59,90
C4,C_0805,Top,39.43,38.39,0
C49,TAJB107K006RNJ,Top,102.03,54.61,0
C5,C-USC0805,Top,39.93,2.89,0
C50,TAJB107K006RNJ,Top,102.03,59.63,0
C6,C-USC0805,Top,40.83,56.49,90
C7,C-USC0805,Top,42.63,45.59,90
C8,C-USC0805,Top,46.43,45.59,90
C9,C-USC0805,Top,47.23,2.99,0
CONN1,24PinJSTCPT,Top,9.63,24.54,270
CONN2,3WAY_SIL,Top,17.73,45.74,0
CONN3,4waysil,Top,31.48,15.74,0
CONN4,6DSIL,Top,51.73,20.29,0
CONN5,4Sil,Top,79.58,43.74,90
CONN6,IPS1-115-01-S-D-PL,Top,102.78,5.98,0
CONN7,6.51005E+11,Top,129.1,58.89,90
CONN8,3WAY_SIL,Top,66.2,20.55,0
D1,1N4148WS-7-F,Top,37.75,75.89,270
D2,1N4148WS-7-F,Top,37.73,70.19,270
D3,1N4148WS-7-F,Top,56.93,73.79,0
D4,1N4148WS-7-F,Top,81.23,33.59,180
D5,1N4148WS-7-F,Top,86.13,33.59,180
D6,SS54B,Top,106.43,32.04,270
D7,SS54B,Top,115.25,42.79,270
IC1,SN65HVD234,Top,9.41,52.39,0
IC15,AMS1117-3.3,Top,60.56,67,270
IC2,SN74AHCT125D,Top,32.19,28.09,270
IC3,STM32F103C8T6TR,Top,57.23,52.09,0
IC5,LM2596S-5.0_NOPB,Top,124.48,42.73,270
IC6,NCV8402ASTT1G,Top,85.96,16.88,270
IC7,NCV8402ASTT1G,Top,98.58,25.45,270
IC8,NCV8402ASTT1G,Top,98.58,15.16,270
J1,75867-101LF,Top,32.16,56.39,270
L1,SWRB1207S-471MT,Top,101.73,44.09,0
L5,L_0805,Top,37.18,46.54,90
LED1,LED0805,Top,87.53,59.29,0
LED2,LED0805,Top,87.43,53.09,0
LED3,LED0805,Top,122.63,66.59,0
LED4,LED0805,Top,127.44,66.59,0
Q1,MMBT3904,Top,48.83,68.79,0
R1,R-US_R0805,Top,17.18,53.74,180
R10,R-US_R0805,Top,52.33,25.09,0
R11,R-US_R0805,Top,54.83,68.79,0
R12,R-US_R0805,Top,56.93,76.39,180
R13,R-US_R0805,Top,69.23,45.59,180
R14,R-US_R0805,Top,69.23,42.69,180
R15,R-US_R0805,Top,70.53,34.79,180
R16,R-US_R0805,Top,75.53,65.79,0
R17,R-US_R0805,Top,78.03,72.09,0
R18,R-US_R0805,Top,79.93,69.49,0
R19,R-US_R0805,Top,80.93,30.59,0
R20,R-US_R0805,Top,82.13,72.09,0
R21,R-US_R0805,Top,87.43,62.19,0
R22,R-US_R0805,Top,87.43,55.99,180
R23,R-US_R0805,Top,122.78,69.62,180
R24,R-US_R0805,Top,127.29,69.62,180
R25,R-US_R0805,Top,28.18,40.17,180
R26,R-US_R0805,Top,28.27,37.04,0
R27,0805W8F8201T5E,Top,107.39,18.42,0
R28,0805W8F1801T5E,Top,107.39,15.23,0
R3,R-US_R0805,Top,40.03,8.99,180
R4,R-US_R0805,Top,39.93,6.19,0
R5,R-US_R0805,Top,42.63,73.69,0
R6,R-US_R0805,Top,43.33,68.79,180
R7,R-US_R0805,Top,46.83,9.29,0
R8,R-US_R0805,Top,46.93,6.19,180
R9,R-US_R0805,Top,52.33,27.99,0
Y1,DST210AC_32.768KHz,Top,44.73,56.59,0
Y2,7A08000010,Top,44.53,50.49,180
